Crash ID,$1000 Damage to Any One Person's Property,Agency,Case ID,City,Contributing Factors,County,Crash Date,Crash Severity,Fatal Crash Flag,Intersecting Street Number,Nearest Trauma Center,Nearest Trauma Center Distance,Region,Contributing Factor 1,Contributing Factor 2,Contributing Factor 3,Driver Zip Code,Lessee/Owner Zip Code,Vehicle Hit and Run Flag,VIN,Person Age,Person Gender,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Number,Physical Location of An Occupant
20744079,Yes,TYLER POLICE DEPARTMENT,25-005024,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,B - SUSPECTED MINOR INJURY,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,2.517,,No Data,No Data,No Data,75785,75785,No,4S4BSBJC9G3241101,26,2 - FEMALE,B - SUSPECTED MINOR INJURY,1,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744083,Yes,CORPUS CHRISTI POLICE DEPARTMENT,C2501998,CORPUS CHRISTI,DISREGARD STOP AND GO SIGNAL,NUECES,2025-04-07,N - NOT INJURED,0,NO DATA,59 - CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,4.747,,15 - DISREGARD STOP AND GO SIGNAL,No Data,No Data,78408,78408,No,1FTRE14W35HB15486,69,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744083,Yes,CORPUS CHRISTI POLICE DEPARTMENT,C2501998,CORPUS CHRISTI,DISREGARD STOP AND GO SIGNAL,NUECES,2025-04-07,N - NOT INJURED,0,NO DATA,59 - CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,4.747,,No Data,No Data,No Data,78412,78408,No,3HSPCAPR2SN470354,57,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744087,Yes,TYLER POLICE DEPARTMENT,25-005029,TYLER,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.794,,37 - FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,No Data,No Data,,No Data,Yes,No Data,No Data,99 - UNKNOWN,99 - UNKNOWN,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744087,Yes,TYLER POLICE DEPARTMENT,25-005029,TYLER,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.794,,No Data,No Data,No Data,75702,75702,No,1GKEK63U34J133194,49,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744087,Yes,TYLER POLICE DEPARTMENT,25-005029,TYLER,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.794,,No Data,No Data,No Data,75702,75702,No,1GKEK63U34J133194,15,2 - FEMALE,C - POSSIBLE INJURY,0,2,3 - FRONT RIGHT
20744088,Yes,HOUSTON POLICE DEPARTMENT,0044458425J,HOUSTON,FAILED TO CONTROL SPEED,HARRIS,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,168 - MEMORIAL HERMANN SOUTHWEST HOSPITAL,1.615,E,22 - FAILED TO CONTROL SPEED,No Data,No Data,77071,77071,No,1GNSCBKC6FR244508,77,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744088,Yes,HOUSTON POLICE DEPARTMENT,0044458425J,HOUSTON,FAILED TO CONTROL SPEED,HARRIS,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,168 - MEMORIAL HERMANN SOUTHWEST HOSPITAL,1.615,E,No Data,No Data,No Data,77071,77071,No,WDBWK56F75F055139,56,1 - MALE,C - POSSIBLE INJURY,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744088,Yes,HOUSTON POLICE DEPARTMENT,0044458425J,HOUSTON,FAILED TO CONTROL SPEED,HARRIS,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,168 - MEMORIAL HERMANN SOUTHWEST HOSPITAL,1.615,E,No Data,No Data,No Data,77071,77071,No,WDBWK56F75F055139,69,1 - MALE,C - POSSIBLE INJURY,0,2,3 - FRONT RIGHT
20744088,Yes,HOUSTON POLICE DEPARTMENT,0044458425J,HOUSTON,FAILED TO CONTROL SPEED,HARRIS,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,168 - MEMORIAL HERMANN SOUTHWEST HOSPITAL,1.615,E,No Data,No Data,No Data,77096,77096,No,1GNSCJKC8GR372051,52,2 - FEMALE,C - POSSIBLE INJURY,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
