"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/08/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 311 Crashes containing 605 Units and 737 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2025-04-04 00:00 and 2025-04-07 23:59"
""


"Crash ID","$1000 Damage to Any One Person's Property","Agency","Case ID","City","Contributing Factors","County","Crash Date","Crash Severity","Fatal Crash Flag","Intersecting Street Number","Nearest Trauma Center","Nearest Trauma Center Distance","Region","Contributing Factor 1","Contributing Factor 2","Contributing Factor 3","Driver Zip Code","Lessee/Owner Zip Code","Vehicle Hit and Run Flag","VIN","Person Age","Person Gender","Person Injury Severity","Person Non-Suspected Serious Injury Count","Person Number","Physical Location of An Occupant"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","17","99 - UNKNOWN","N - NOT INJURED","0","3","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","No Data","99 - UNKNOWN","N - NOT INJURED","0","4","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","No Data","99 - UNKNOWN","N - NOT INJURED","0","5","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","13","99 - UNKNOWN","N - NOT INJURED","0","6","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","12","99 - UNKNOWN","N - NOT INJURED","0","7","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","14","99 - UNKNOWN","N - NOT INJURED","0","8","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","18","99 - UNKNOWN","N - NOT INJURED","0","9","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","12","99 - UNKNOWN","N - NOT INJURED","0","10","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","13","99 - UNKNOWN","N - NOT INJURED","0","11","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","No Data","99 - UNKNOWN","N - NOT INJURED","0","12","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","12","99 - UNKNOWN","N - NOT INJURED","0","13","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","15","99 - UNKNOWN","N - NOT INJURED","0","14","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","11","99 - UNKNOWN","N - NOT INJURED","0","15","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","16","99 - UNKNOWN","N - NOT INJURED","0","16","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","12","99 - UNKNOWN","N - NOT INJURED","0","17","14 - PASSENGER IN BUS"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","16","99 - UNKNOWN","N - NOT INJURED","0","18","14 - PASSENGER IN BUS"
